"TIME","RPM","BaroPressure","BoostPressureDesired","BoostPressureActual","BoostFrequencyValveDutyCycle","MassAirFlow","IntakeAirTemperature","AcceleratorPedalPosition","ThrottlePlateAngle","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","IgnitionRetardCyl5","IgnitionRetardCyl6","IgnitionTimingAngleOverall","KnockVoltCyl1","KnockVoltCyl2","KnockVoltCyl3","KnockVoltCyl4","KnockVoltCyl5","KnockVoltCyl6","VehicleSpeed","Gear","AirFuelRatioDesired","FuelInjectorOnTime","EGTbank1","EGTbank2","EGTbank1OXS","EGTbank2OXS","OXSVoltS1B1","OXSVoltS1B2","EngineLoadSpecified","EngineLoadCorrectedSpecified","EngineLoadDesired","EngineLoad"
"2954","2718.5","980.1171875","979.453125","1034.2578125","0","8.52044921875","69.8","0","4.70588235294118","0","0","0","0","0","0","9","4.212","4.056","3.432","3.042","2.886","2.886","69.9139680473781","6","1","1.38921875","1733.66796875","1733.6328125","505","505",".045",".055","199.436090225564","190.061090225564","11.7481203007519","11.4896616541353"
"3024","2720.5","980.1171875","979.453125","1032.890625","0","8.57595703125","69.8","0","4.70588235294118","0","0","0","0","0","0","5.25","4.212","4.056","3.744","3.198","2.886","2.808","69.826587723475","6","1","1.42375","1733.66796875","1733.6328125","505","505",".035",".045","199.436090225564","190.061090225564","11.7481203007519","11.3486842105263"
"3094","2721","980.1171875","979.453125","1034.1015625","0","8.85349609375","69.8","0","4.70588235294118","0","0","0","0","0","0","3","4.212","3.9","3.744","3.042","2.886","2.73","69.7731886366453","6","1","1.42375","1733.66796875","1733.6328125","505","505",".035",".035","199.436090225564","190.037593984962","11.7481203007519","11.1372180451128"
"3164","2717.75","980.1171875","979.453125","1032.34375","0","8.57595703125","69.8","0","4.70588235294118","0","0","0","0","0","0","1.5","4.212","3.9","3.744","3.042","2.886","2.73","69.7392073995719","6","1","1.4396875","1733.66796875","1733.6328125","505","505",".035",".035","199.436090225564","190.061090225564","11.7481203007519","11.1842105263158"
"3234","2718.75","980.1171875","979.453125","1032.3046875","0","9.18654296875","69.8","0","4.70588235294118","0","0","0","0","0","0","-.75","3.744","4.056","3.744","3.198","2.964","2.73","69.7100806249375","6","1","1.46359375","1733.66796875","1733.6328125","505","505",".035",".035","199.436090225564","190.061090225564","11.7481203007519","11.3486842105263"
"3304","2711.25","981.3671875","979.4921875","1032.9296875","0","8.85349609375","69.8","0","4.70588235294118","0","0","0","0","0","0","-3","4.056","4.056","3.588","3.276","3.12","2.574","69.671244925425","6","1","1.47421875","1733.66796875","1733.6328125","505","505",".035",".04","199.436090225564","190.084586466165","11.7481203007519","11.4426691729323"
"3374","2710","980.1171875","979.4921875","1035.234375","0","9.1587890625","69.8","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","4.056","3.588","3.12","2.964","2.808","69.6275547634734","6","1.046875","1.434375","1733.66796875","1733.6328125","505","505",".025",".04","199.436090225564","190.084586466165","11.7481203007519","11.4896616541353"
"3444","2700","980.1171875","979.4921875","1034.921875","0","9.02001953125","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","4.056","3.588","3.12","2.964","2.808","69.5401744395703","6","1.046875","1.42375","1733.66796875","1733.6328125","505","505",".015",".035","199.436090225564","190.084586466165","11.7481203007519","11.2312030075188"
"3515","2702","981.3671875","979.53125","1033.203125","0","9.1587890625","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","3.9","3.276","3.12","2.964","2.73","69.4673575029844","6","1.046875","1.4503125","1733.66796875","1733.6328125","505","505",".01",".025","199.436090225564","190.460526315789","11.7481203007519","11.5601503759399"
"3585","2703","980.1171875","979.53125","1032.3828125","0","9.02001953125","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.588","4.056","3.276","2.964","3.042","2.574","69.4091039537156","6","1.046875","1.44234375","1733.66796875","1733.6328125","505","505",".005",".01","199.436090225564","190.460526315789","11.7481203007519","11.6071428571429"
"3655","2701.25","980.1171875","979.53125","1031.640625","0","9.2698046875","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.588","4.056","3.276","2.964","3.042","2.574","69.360559329325","6","1.046875","1.4715625","1733.66796875","1733.6328125","500","500","0",".01","199.436090225564","190.484022556391","11.7481203007519","11.7951127819549"
"3725","2701.25","980.1171875","979.53125","1032.34375","0","8.6037109375","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.056","3.432","3.042","3.042","2.73","69.2925968551781","6","1.046875","1.413125","1733.66796875","1733.6328125","500","500","0",".01","199.436090225564","190.507518796992","11.7481203007519","11.4191729323308"
"3795","2703.5","981.3671875","979.5703125","1031.640625","0","8.770234375","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","3.744","3.12","3.042","3.198","2.964","69.2537611556656","6","1.046875","1.42375","1733.66796875","1733.6328125","500","500","0",".005","199.436090225564","190.507518796992","11.7481203007519","11.3016917293233"
"3865","2699.5","981.3671875","979.5703125","1031.25","0","9.02001953125","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","3.744","3.12","3.042","3.198","2.964","69.2003620688359","6","1.046875","1.434375","1733.66796875","1733.6328125","500","500","0",".005","199.412593984962","190.484022556391","11.7481203007519","11.4896616541353"
"3935","2698.25","980.1171875","979.5703125","1030.5078125","0","9.3253125","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","3.9","3.12","2.886","3.12","3.12","69.1518174444453","6","1.046875","1.4715625","1733.66796875","1733.6328125","500","500","0",".005","199.412593984962","190.531015037594","11.7481203007519","11.7481203007519"
"4005","2694.75","980.1171875","979.5703125","1030.78125","0","8.65921875","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","3.9","3.12","2.886","3.276","2.964","69.0887094327375","6","1.046875","1.413125","1733.66796875","1733.6328125","500","500","0",".005","199.412593984962","190.507518796992","11.7481203007519","11.3016917293233"
"4075","2689.5","980.1171875","979.5703125","1031.953125","0","8.85349609375","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.056","3.9","3.276","3.042","3.12","2.964","69.0353103459078","6","1.046875","1.4078125","1733.66796875","1733.6328125","500","500","0",".005","199.412593984962","190.531015037594","11.7481203007519","11.0432330827068"
"4145","2682.75","980.1171875","979.5703125","1029.6484375","0","9.0477734375","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.056","3.9","3.276","3.042","3.12","2.964","68.9527844844438","6","1.046875","1.4503125","1733.66796875","1733.6328125","500","500","0",".005","199.412593984962","190.531015037594","11.7481203007519","11.4426691729323"
"4216","2677","980.1171875","979.5703125","1028.984375","0","8.7147265625","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.056","3.9","3.12","2.886","3.276","3.042","68.894530935175","6","1.046875","1.434375","1733.66796875","1733.6328125","500","500","0",".005","199.412593984962","190.554511278195","11.7481203007519","11.5366541353383"
"4286","2678.25","981.3671875","979.609375","1029.609375","0","8.63146484375","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.368","4.056","3.12","3.042","3.354","3.198","68.81685953615","6","1.046875","1.42109375","1733.66796875","1733.6328125","495","495","0",".005","199.412593984962","190.531015037594","11.7481203007519","11.1372180451128"
"4356","2678.5","981.3671875","979.609375","1029.5703125","0","8.65921875","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.368","4.056","3.12","3.042","3.354","3.198","68.7634604493203","6","1.046875","1.413125","1733.66796875","1733.6328125","495","495","0","0","199.412593984962","190.554511278195","11.7481203007519","10.9727443609023"
"4426","2679.25","980.1171875","979.609375","1029.609375","0","8.7147265625","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","3.744","3.12","3.198","3.354","3.042","68.7052069000516","6","1.046875","1.4078125","1733.66796875","1733.6328125","495","495","0","0","199.412593984962","190.578007518797","11.7481203007519","10.9727443609023"
"4496","2675","980.1171875","979.609375","1029.609375","0","9.07552734375","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.056","2.964","2.964","3.198","2.886","68.6615167381","6","1.046875","1.4503125","1733.66796875","1733.6328125","495","495","0","0","199.412593984962","190.578007518797","11.7481203007519","11.4661654135338"
"4566","2673","980.1171875","979.609375","1029.609375","0","8.7147265625","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.056","2.964","2.964","3.198","2.886","68.6032631888312","6","1.046875","1.43171875","1733.66796875","1733.6328125","495","495","0",".005","199.412593984962","190.554511278195","11.7481203007519","11.4191729323308"
"4636","2672.25","981.3671875","979.6484375","1027.96875","0","8.65921875","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.368","2.964","2.964","3.12","3.12","68.5498641020016","6","1.046875","1.4503125","1733.66796875","1733.6328125","495","495","0","0","199.389097744361","190.578007518797","11.7481203007519","11.4661654135338"
"4706","2668.25","980.1171875","979.6484375","1028.4765625","0","8.7147265625","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.212","2.964","3.12","3.12","3.276","68.4819016278547","6","1.046875","1.4290625","1733.66796875","1733.6328125","495","495","0","0","199.389097744361","190.578007518797","11.7481203007519","11.5366541353383"
"4776","2664.75","980.1171875","979.6484375","1028.828125","0","8.35392578125","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.056","4.524","2.808","3.12","3.276","3.276","68.428502541025","6","1.046875","1.3971875","1733.66796875","1733.6328125","495","495","0",".005","199.389097744361","190.601503759398","11.7481203007519","10.9962406015038"
"4846","2660.75","980.1171875","979.6484375","1029.21875","0","8.326171875","71.15","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.056","4.524","2.808","3.12","3.276","3.276","68.350831142","6","1.046875","1.3865625","1733.66796875","1733.6328125","490","490","0","0","199.389097744361","190.601503759398","11.7481203007519","10.8787593984962"
"4917","2659.75","981.3671875","979.6484375","1026.6796875","0","8.548203125","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","4.056","4.836","2.808","3.042","3.276","3.12","68.2877231302922","6","1.046875","1.43171875","1733.66796875","1733.6328125","490","490","0",".005","199.389097744361","190.625","11.7481203007519","11.1607142857143"
"4987","2655.25","980.1171875","979.6484375","1026.953125","0","8.74248046875","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","4.836","2.808","3.042","3.12","3.042","68.2149061937063","6","1.046875","1.43171875","1733.66796875","1733.6328125","490","490","0",".005","199.389097744361","190.625","11.7481203007519","11.1372180451128"
"5057","2655.75","980.1171875","979.6484375","1026.953125","0","9.0477734375","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","4.836","2.808","3.042","3.12","3.042","68.1615071068766","6","1.046875","1.44765625","1733.66796875","1733.6328125","490","490","0",".005","199.389097744361","191.000939849624","11.7481203007519","11.3721804511278"
"5127","2653","981.3671875","979.6875","1026.953125","0","9.18654296875","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.744","4.836","2.808","3.12","2.964","3.198","68.0983990951688","6","1.046875","1.46359375","1733.66796875","1733.6328125","490","490","0",".005","199.389097744361","191.000939849624","11.7481203007519","11.6541353383459"
"5197","2648","980.1171875","979.6875","1026.953125","0","8.85349609375","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.836","2.808","3.12","3.276","3.198","68.0498544707781","6","1.046875","1.4503125","1733.66796875","1733.6328125","490","490","0",".005","199.389097744361","191.000939849624","11.7481203007519","11.7011278195489"
"5267","2647.5","980.1171875","979.6875","1026.953125","0","8.7147265625","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.836","2.808","3.12","3.276","3.198","67.9916009215094","6","1.046875","1.434375","1733.66796875","1733.6328125","490","490","0","0","199.365601503759","191.000939849624","11.7481203007519","11.5836466165414"
"5337","2646.75","981.3671875","979.7265625","1026.953125","0","8.63146484375","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.9","4.836","2.808","3.12","3.276","3.042","67.9236384473625","6","1.046875","1.434375","1733.66796875","1733.6328125","490","490","0","0","199.389097744361","191.024436090226","11.7481203007519","11.4896616541353"
"5407","2644.5","980.1171875","979.7265625","1026.953125","0","8.74248046875","72.5","0","4.70588235294118","0","0","0","0","0","0","-4.5","3.588","4.836","3.12","2.964","3.276","2.886","67.8702393605328","6","1.046875","1.43171875","1733.66796875","1733.6328125","490","490","0","0","199.365601503759","191.024436090226","11.7481203007519","11.4661654135338"
